	n		
382	382	0.448719280250167	0.551280719749833
384	384	0.44885550370227	0.55114449629773
386	386	0.448990656587826	0.551009343412174
388	388	0.449124752808233	0.550875247191767
390	390	0.449257806013974	0.550742193986026
392	392	0.4493898296104	0.5506101703896
394	394	0.449520836763356	0.550479163236644
396	396	0.44965084040465	0.55034915959535
398	398	0.44977985323736	0.55022014676264
400	400	0.449907887741012	0.550092112258988
402	402	0.450034956176599	0.549965043823401
404	404	0.450161070591477	0.549838929408523
406	406	0.450286242824113	0.549713757175887
408	408	0.45041048450872	0.54958951549128
410	410	0.450533807079758	0.549466192920242
412	412	0.450656221776315	0.549343778223685
414	414	0.450777739646372	0.549222260353628
416	416	0.45089837155096	0.54910162844904
418	418	0.451018128168197	0.548981871831803
420	420	0.451137019997228	0.548862980002772
422	422	0.451255057362058	0.548744942637942
424	424	0.451372250415286	0.548627749584714
426	426	0.451488609141741	0.548511390858259
428	428	0.451604143362026	0.548395856637974
430	430	0.451718862735971	0.548281137264029
432	432	0.451832776765995	0.548167223234005
434	434	0.451945894800387	0.548054105199613
436	436	0.452058226036499	0.547941773963501
438	438	0.452169779523864	0.547830220476136
440	440	0.452280564167231	0.547719435832769
442	442	0.452390588729525	0.547609411270475
444	444	0.452499861834737	0.547500138165263
446	446	0.452608391970738	0.547391608029262
448	448	0.452716187492026	0.547283812507974
450	450	0.452823256622406	0.547176743377594
452	452	0.452929607457604	0.547070392542396
454	454	0.453035247967813	0.546964752032187
456	456	0.45314018600019	0.54685981399981
458	458	0.453244429281274	0.546755570718726
460	460	0.453347985419365	0.546652014580635
462	462	0.453450861906833	0.546549138093167
464	464	0.453553066122379	0.546446933877621
466	466	0.453654605333237	0.546345394666763
468	468	0.453755486697329	0.546244513302671
470	470	0.453855717265369	0.546144282734631
472	472	0.453955303982914	0.546044696017086
474	474	0.454054253692368	0.545945746307632
476	476	0.454152573134946	0.545847426865054
478	478	0.454250268952583	0.545749731047417
480	480	0.454347347689807	0.545652652310193
482	482	0.454443815795562	0.545556184204438
484	484	0.454539679624997	0.545460320375003
486	486	0.454634945441211	0.545365054558789
488	488	0.454729619416954	0.545270380583046
490	490	0.454823707636298	0.545176292363702
492	492	0.454917216096263	0.545082783903737
494	494	0.455010150708414	0.544989849291586
496	496	0.455102517300415	0.544897482699585
498	498	0.455194321617553	0.544805678382447
500	500	0.455285569324227	0.544714430675773
502	502	0.455376266005409	0.544623733994591
504	504	0.45546641716806	0.54453358283194
506	506	0.455556028242531	0.544443971757469
508	508	0.455645104583926	0.544354895416074
510	510	0.45573365147343	0.54426634852657
512	512	0.45582167411962	0.54417832588038
